userName,score,content,at,replyContent
Diazke Renz,1,intinya game ini kurang memuaskan,2026-01-05 22:22:43,
Bang Bewok,1,saya kasih bintang 1 karena mau mytic tmn nya si kasih trol masak udah bintang full sampai bintang 1 gak pernah menang,2026-01-05 22:20:33,
Elvan Super,1,game tai..,2026-01-05 22:20:05,
Yanti Mulyati,5,seruuu,2026-01-05 22:18:51,
Nur Efendi,1,Stelah pembaruan susah masuk,2026-01-05 22:18:42,
Farda Faradina,5,𝒃𝒂𝒈𝒖𝒔,2026-01-05 22:17:55,
Sadira Zahran,5,bagus game nya dan fitur fitur nya,2026-01-05 22:15:52,
Lynnn,1,game gj banyak bug oon,2026-01-05 22:15:20,
29_Rafi Aqil Wibowo,3,"dear moonton, tlong difix masalah jaringan, ini ganggu banget waktu pas main in-game. Sama tlong upgrade server dan enginenya, masa game udh mau 10th masih pake engine yang sama dan kualitas server yang kecil.... stop udh mikirin yang hp jadul, udh bukan waktunya lagi buat ikutin itu, zaman udh berubah jadi lebih dioptimasize lah nih game semoga feedback ku didengar.",2026-01-05 22:15:10,
Brandal,1,game TAEK!!!,2026-01-05 22:14:35,
Wawan New,1,benerin matchingnya,2026-01-05 22:14:22,
guinyumec,1,game taii asuu,2026-01-05 22:14:02,
Mis Ul,5,kualitasgrafis bagus dan seruuuuu,2026-01-05 22:13:56,
gokgok,5,server nya sering ngeleg ga jelas padahal main game lain ga ngelaeg,2026-01-05 22:13:47,
Gladys Wandayani,1,"game gjls, game haram, game stress. jgn di download guys banyak org stress disini",2026-01-05 22:12:55,
Tb Inti Djaya,5,Ok,2026-01-05 22:12:21,
yunan lesmana,5,game ini bagus dan seru,2026-01-05 22:11:17,
Arr 13,1,SISTEM TAIIIIII,2026-01-05 22:10:36,
Agung,1,INI GAME GA ADA KATA MENANG NYA TD GUA MAIN YANG NAIK CUMA DOSA,2026-01-05 22:10:18,
Vynha Kea,2,gem nya seru tapiiiiiiiiiiiiiiiiiiiii banyak ngelek nya,2026-01-05 22:09:52,
Naufal Limbong,1,gk sesui harapan,2026-01-05 22:09:23,
Riva Diki,1,wah game ini bagus banget karena banyak light dark sistem nya aku kasih bintang lima 🥰 game gila,2026-01-05 22:09:03,
Fauziah Muzuni djaafara,1,kapan collab sama boboiboy??😁😁,2026-01-05 22:08:28,
Rizki Rizky,1,game jelek ngasih tim gak bener perbaiki ini keluh kesah player di seluruh dunia main solo kayak neraka klo GK di benerin ini bakal jadi game sepi lama lama orang orang emosi main solo lama lama trus hapus ml dan ganti game online lain,2026-01-05 22:07:38,
